Symbol,Ex-date,Qty,Dividend per share,Total dividend
CRISIL#,2026-04-02,18,28,504
VBL,2026-04-08,50,0.5,25
SCHAEFFLER,2026-04-23,4,35,140
CRISIL#,2026-04-23,18,9,162
HCLTECH#,2026-04-24,129,24,3096
VBL,2026-04-30,50,0.5,25
HINDZINC,2026-04-30,120,11,1320
TANLA,2026-04-30,23,6,138
OFSS,2026-05-07,19,270,5130
NATIONALUM,2026-05-08,116,2,232
IEX,2026-05-15,750,2,1500
INDIGRID,2026-05-19,63,4,252
LT,2026-05-22,4,38,152
TCS,2026-05-25,81,31,2511
TATACONSUM,2026-05-25,15,10,150
LTM,2026-05-25,32,53,1696
PAGEIND,2026-05-27,4,150,600
ITC#,2026-05-27,48,8,384
BAJAJ-AUTO*,2026-05-29,2,150,300
JSWENERGY#,2026-06-05,46,2,92
RELIANCE,2026-06-05,40,6,240
TATAELXSI,2026-06-10,16,75,1200
INFY#,2026-06-10,132,25,3300
ADANIPORTS,2026-06-12,39,7.5,292.5
TRENT,2026-06-12,30,4,120
TATASTEEL,2026-06-12,227,4,908
VOLTAS,2026-06-12,8,4,32
ACC,2026-06-12,45,7.5,337.5
TATATECH,2026-06-18,16,8.35,133.6
TATATECH,2026-06-18,16,3.35,53.6
JSWINFRA#,2026-06-18,58,0.9,52.2
POLYCAB,2026-06-19,1,47,47
HDFCLIFE,2026-06-19,200,2.1,420
HDFCBANK,2026-06-19,80,13,1040
AWL,2026-06-19,130,1,130
TATAPOWER,2026-06-23,115,2.5,287.5
ASIANPAINT,2026-06-23,71,23,1633
INDHOTEL,2026-06-23,17,3.25,55.25
HINDUNILVR#,2026-06-23,63,22,1386
VAIBHAVGBL6,2026-06-25,110,1.5,165
KALPATPOWR*,2026-06-29,23,11,253
WELCORP,2026-06-30,27,5,135
TECHM,2026-07-03,75,36,2700
SUNDARMFIN6,2026-07-06,4,24,96
JSWSTEEL,2026-07-07,33,7.1,234.3
MPHASIS,2026-07-08,70,62,4340
TITAN,2026-07-09,5,15,75
SFL6,2026-07-09,30,1,30
JKCEMENT#,2026-07-10,3,20,60
GEOJITFSL,2026-07-10,500,1.5,750
HINDALCO#,2026-07-10,38,5,190
ZFCVINDIA,2026-07-10,9,4,36
MOTHERSON#,2026-07-14,930,0.25,232.5
TCS,2026-07-15,82,12,984
HAPPSTMNDS#,2026-07-17,30,3.65,109.5
KOTAKBANK,2026-07-17,210,0.65,136.5
LUPIN,2026-07-17,13,18,234
SONATSOFTW,2026-07-17,55,4.15,228.25
HCLTECH#,2026-07-17,113,12,1356
PIDILITIND,2026-07-23,12,11.5,138
HEROMOTOCO,2026-07-24,13,75,975
SHYAMMETL#,2026-07-24,45,1.8,81
ABBOTINDIA,2026-07-24,3,131,393
ABBOTINDIA,2026-07-24,3,525,1575
DEEPAKNTR,2026-07-27,16,7.5,120
TATACAP,2026-07-27,47,0.57,26.79
PERSISTENT,2026-07-27,31,18,558
ARE&M#,2026-07-27,35,5.2,182
CRISIL#,2026-07-27,20,10,200
GMMPFAUDLR,2026-07-28,47,1,47
SIEMENS,2026-07-29,2,18,36
ULTRACEMCO,2026-07-30,2,240,480
GREENPANEL,2026-07-31,110,0.5,55
VBL,2026-07-31,50,0.5,25
COALINDIA,2026-07-31,242,5.5,1331
VGUARD#,2026-07-31,120,1.5,180
CAMPUS,2026-07-31,125,1.5,187.5
STAR6,2026-07-31,27,5,135
