
Investment Overview,,,,,,Returns Breakdown

Current Value,,,,,,Total Returns
102604.43,,,,,,2124.66
Current Investment,Money Put In,,,Current Returns,Realized Returns,Dividends
100479.77,100479.77,,,2124.66,0.00,0.00


Name,Ticker,Current Price (₹),Avg. Buy Price (₹),Returns (%),Weightage (%),Shares
Belrise Industries Ltd,BELRISE,240.18,231.52,3.74,6.32,27
Sona BLW Precision Forgings Ltd,SONACOMS,808.00,781.00,3.45,6.29,8
Suprajit Engineering Ltd,SUPRAJIT,499.05,488.49,2.16,7.29,15
CIE Automotive India Ltd,CIEINDIA,387.15,378.30,2.33,6.79,18
UNO Minda Ltd,UNOMINDA,1284.00,1201.26,6.88,6.25,5
Samvardhana Motherson International Ltd,MOTHERSON,162.57,161.02,0.96,4.91,31
Endurance Technologies Ltd,ENDURANCE,2732.00,2674.00,2.16,7.98,3
Hyundai Motor India Ltd,HYUNDAI,2208.80,2159.90,2.26,8.61,4
TVS Motor Company Limited,TVSMOTOR,4171.30,4133.30,0.91,8.13,2
Mahindra and Mahindra Ltd,M&M,3052.00,3103.90,-1.67,5.94,2
Eicher Motors Ltd,EICHERMOT,7516.00,7520.00,-0.05,7.32,1
Bajaj Auto Ltd.,BAJAJ-AUTO,11414.00,11560.00,-1.26,11.12,1
Exide Industries Ltd,EXIDEIND,435.85,414.35,5.18,6.37,15
Balkrishna Industries Ltd,BALKRISIND,2265.30,2138.27,5.94,6.62,3
