
Investment Overview,,,,,,Returns Breakdown

Current Value,,,,,,Total Returns
87677.16,,,,,,5201.01
Current Investment,Money Put In,,,Current Returns,Realized Returns,Dividends
79128.41,85396.00,,,8548.75,-5013.94,1666.20


Name,Ticker,Current Price (₹),Avg. Buy Price (₹),Returns (%),Weightage (%),Shares
Tata Power Company Ltd,TATAPOWER,374.80,400.65,-6.45,13.67,32
Exide Industries Ltd,EXIDEIND,435.85,417.71,4.34,8.94,18
Amara Raja Energy & Mobility Ltd,ARE&M,796.00,1035.28,-23.11,9.07,10
Sona BLW Precision Forgings Ltd,SONACOMS,808.00,611.74,32.08,10.13,11
Samvardhana Motherson International Ltd,MOTHERSON,162.57,125.89,29.13,7.04,38
Endurance Technologies Ltd,ENDURANCE,2732.00,2451.16,11.45,9.34,3
Mahindra and Mahindra Ltd,M&M,3052.00,2843.13,7.34,10.44,3
Bajaj Auto Ltd.,BAJAJ-AUTO,11414.00,10166.45,12.27,13.01,1
TVS Motor Company Limited,TVSMOTOR,4171.30,2306.55,80.84,9.51,2
UNO Minda Ltd,UNOMINDA,1284.00,1043.34,23.06,8.78,6
