
Investment Overview,,,,,,Returns Breakdown

Current Value,,,,,,Total Returns
99207.10,,,,,,-164.40
Current Investment,Money Put In,,,Current Returns,Realized Returns,Dividends
99371.50,99371.50,,,-164.40,0.00,0.00


Name,Ticker,Current Price (₹),Avg. Buy Price (₹),Returns (%),Weightage (%),Shares
Emcure Pharmaceuticals Ltd,EMCURE,2015.40,2023.00,-0.37,10.15,5
Glenmark Pharmaceuticals Limited,GLENMARK,2464.30,2465.40,-0.04,9.93,4
Rainbow Children's Medicare Ltd,RAINBOW,1441.10,1440.70,0.02,10.16,7
Narayana Hrudayalaya Limited,NH,1918.20,1920.06,-0.09,9.66,5
SPR Auto Technologies Ltd,SHRIPISTON,4533.00,4546.10,-0.28,9.13,2
Lumax Auto Technologies Limited,LUMAXTECH,2095.90,2087.16,0.41,10.56,5
National Aluminium Co Ltd,NATIONALUM,352.80,354.35,-0.43,9.95,28
Kirloskar Oil Engines Ltd,KIRLOSENG,2141.00,2158.40,-0.80,10.79,5
Elgi Equipments Ltd,ELGIEQUIP,604.04,604.40,-0.05,9.74,16
Castrol India Ltd,CASTROLIND,196.01,195.95,0.03,9.87,50
