
Investment Overview,,,,,,Returns Breakdown

Current Value,,,,,,Total Returns
45336.97,,,,,,519.45
Current Investment,Money Put In,,,Current Returns,Realized Returns,Dividends
44817.52,44817.52,,,519.45,0.00,0.00


Name,Ticker,Current Price (₹),Avg. Buy Price (₹),Returns (%),Weightage (%),Shares
Paradeep Phosphates Ltd,PARADEEP,155.62,149.19,4.30,10.29,30
Rainbow Children's Medicare Ltd,RAINBOW,1454.70,1495.60,-2.73,9.62,3
Vijaya Diagnostic Centre Limited,VIJAYA,1558.90,1460.00,6.77,10.31,3
Healthcare Global Enterprises Limited,HCG,708.25,685.52,3.31,10.93,7
Tips Music Ltd,TIPSMUSIC,657.70,662.14,-0.67,10.15,7
Mindspace Business Parks REIT,MINDSPACE,505.58,498.30,1.46,10.03,9
Embassy Office Parks REIT,EMBASSY,441.07,439.53,0.35,9.72,10
Marico Limited,MARICO,803.90,818.90,-1.83,10.63,6
IPCA Laboratories Ltd,IPCALAB,2009.60,1988.80,1.04,8.86,2
CCL Products (India) Ltd,CCL,1065.59,1067.59,-0.18,9.40,4
