
Investment Overview,,,,,,Returns Breakdown

Current Value,,,,,,Total Returns
51286.33,,,,,,2586.05
Current Investment,Money Put In,,,Current Returns,Realized Returns,Dividends
47638.88,52205.93,,,3647.45,-1917.10,855.70


Name,Ticker,Current Price (₹),Avg. Buy Price (₹),Returns (%),Weightage (%),Shares
Titagarh Rail Systems Ltd,TITAGARH,837.65,994.51,-15.77,8.16,5
Transport Corporation of India Ltd,TCI,829.80,1095.68,-24.26,9.70,6
Delhivery Limited,DELHIVERY,428.00,345.83,23.75,12.51,15
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,1824.00,1358.14,34.30,10.66,3
Gateway Distriparks Ltd,GATEWAY,52.87,79.70,-33.67,4.02,39
Container Corporation of India Ltd,CONCOR,504.55,595.76,-15.31,4.91,5
Eicher Motors Ltd,EICHERMOT,7516.00,4823.27,55.82,14.65,1
JSW Infrastructure Limited,JSWINFRA,348.25,300.38,15.93,12.22,18
Blackbuck Ltd,BLACKBUCK,632.40,566.15,11.70,12.33,10
Shadowfax Technologies Limited,SHADOWFAX,251.55,220.50,14.08,10.79,22
