
Investment Overview,,,,,,Returns Breakdown

Current Value,,,,,,Total Returns
194046.46,,,,,,54101.39
Current Investment,Money Put In,,,Current Returns,Realized Returns,Dividends
183255.80,207234.75,,,10790.66,31058.62,12252.10


Name,Ticker,Current Price (₹),Avg. Buy Price (₹),Returns (%),Weightage (%),Shares
ITC Ltd,ITC,262.30,291.02,-9.86,9.46,70
Pidilite Industries Ltd,PIDILITIND,1572.10,1276.57,23.15,9.72,12
Reliance Industries Ltd,RELIANCE,1226.40,1199.05,2.28,9.48,15
Sundaram Finance Ltd,SUNDARMFIN,4730.60,2595.00,82.29,9.75,4
Schaeffler India Ltd,SCHAEFFLER,4217.60,3326.06,26.80,10.86,5
KEI Industries Ltd,KEI,4650.00,4737.78,-1.85,9.58,4
Kirloskar Pneumatic Company Ltd,KIRLPNU,698.65,681.00,2.59,8.64,24
CRISIL Ltd,CRISIL,4577.50,4813.29,-4.89,11.79,5
Berger Paints India Ltd,BERGEPAINT,458.65,551.73,-16.87,9.45,40
Kwality Wall's (India) Ltd,KWIL,41.22,37.39,10.22,0.16,8
ZF Commercial Vehicle Control Systems India Ltd,ZFCVINDIA,2387.00,2315.47,3.08,11.07,9
