
Investment Overview,,,,,,Returns Breakdown

Current Value,,,,,,Total Returns
330077.85,,,,,,-677.76
Current Investment,Money Put In,,,Current Returns,Realized Returns,Dividends
342173.47,363404.41,,,-12095.62,-12671.79,24089.66


Name,Ticker,Current Price (₹),Avg. Buy Price (₹),Returns (%),Weightage (%),Shares
Bharat Petroleum Corporation Limited,BPCL,314.00,299.41,4.87,8.37,88
Reliance Industries Ltd,RELIANCE,1226.40,1400.71,-12.44,9.66,26
Coal India Limited,COALINDIA,409.90,414.25,-1.05,9.56,77
Gail (India) Ltd,GAIL,173.90,188.45,-7.72,8.00,152
NHPC Ltd,NHPC,76.95,83.53,-7.88,8.46,363
NTPC Ltd,NTPC,323.64,337.03,-3.97,9.02,92
Oil and Natural Gas Corporation Ltd,ONGC,232.80,249.99,-6.87,10.29,146
Power Grid Corporation of India Limited,POWERGRID,270.30,291.60,-7.30,10.31,126
Tata Power Company Ltd,TATAPOWER,374.80,397.02,-5.59,8.06,71
Oil India Ltd,OIL,475.70,417.39,13.96,11.38,79
JSW Energy Ltd,JSWENERGY,526.00,537.86,-2.20,6.85,43
