
Investment Overview,,,,,,Returns Breakdown

Current Value,,,,,,Total Returns
285324.55,,,,,,91776.84
Current Investment,Money Put In,,,Current Returns,Realized Returns,Dividends
264831.56,210823.56,,,20492.99,61237.90,10045.95


Name,Ticker,Current Price (₹),Avg. Buy Price (₹),Returns (%),Weightage (%),Shares
Kalpataru Projects International Limited,KPIL,1445.50,1190.96,21.37,10.13,20
Strides Pharma Science Ltd,STAR,1219.80,1101.83,10.70,10.26,24
Glenmark Pharmaceuticals Limited,GLENMARK,2447.40,2164.90,13.04,10.29,12
Pricol Ltd,PRICOLLTD,767.50,573.84,33.74,10.22,38
NMDC Ltd,NMDC,79.15,89.62,-11.68,9.34,337
The Great Eastern Shipping Company Limited,GESHIP,1432.10,1443.30,-0.77,10.54,21
Finolex Cables Limited,FINCABLES,1411.20,1088.00,29.70,10.38,21
National Aluminium Co Ltd,NATIONALUM,350.50,354.85,-1.22,9.70,79
Gujarat Pipavav Port Ltd,GPPL,160.35,164.42,-2.47,9.49,169
Engineers India Ltd,ENGINERSIN,266.35,268.00,-0.61,9.61,103
