
Investment Overview,,,,,,Returns Breakdown

Current Value,,,,,,Total Returns
132473.68,,,,,,30652.82
Current Investment,Money Put In,,,Current Returns,Realized Returns,Dividends
123141.27,112555.54,,,9332.41,15056.57,6263.84


Name,Ticker,Current Price (₹),Avg. Buy Price (₹),Returns (%),Weightage (%),Shares
Tata Consumer Products Ltd,TATACONSUM,996.00,978.70,1.76,15.78,21
Tata Power Company Ltd,TATAPOWER,374.80,348.98,7.39,14.14,50
Tata Steel Ltd,TATASTEEL,185.54,144.28,28.59,12.18,87
Tata Consultancy Services Ltd,TCS,2105.00,3326.31,-36.71,6.35,4
Titan Company Ltd,TITAN,4798.50,2972.18,61.44,10.86,3
Voltas Ltd,VOLTAS,1110.90,1174.62,-5.42,10.06,12
Indian Hotels Company Ltd,INDHOTEL,732.75,509.19,43.90,9.40,17
Tata Technologies Ltd,TATATECH,722.45,771.11,-6.31,8.72,16
Tata Capital Ltd,TATACAP,351.35,325.00,8.10,12.46,47
