
Investment Overview,,,,,,Returns Breakdown

Current Value,,,,,,Total Returns
1351413.10,,,,,,489559.10
Current Investment,Money Put In,,,Current Returns,Realized Returns,Dividends
1307881.78,1066922.94,,,43531.32,320949.23,125078.55


Name,Ticker,Current Price (₹),Avg. Buy Price (₹),Returns (%),Weightage (%),Shares
Coforge Limited,COFORGE,1841.00,961.80,91.41,9.67,71
HCL Technologies Ltd,HCLTECH,1249.30,1155.41,8.12,12.11,131
Infosys Limited,INFY,1051.40,1498.95,-29.85,10.89,140
LTM Ltd,LTM,4275.10,4826.41,-11.42,11.38,36
Mphasis Ltd,MPHASIS,2300.40,2381.12,-3.39,11.91,70
Persistent Systems Ltd,PERSISTENT,5416.00,2614.33,107.16,10.01,25
Tata Consultancy Services Ltd,TCS,2105.00,3477.46,-39.46,11.83,76
Oracle Financial Services Software Ltd,OFSS,11896.00,4343.84,173.85,10.56,12
Tech Mahindra Limited,TECHM,1537.10,1531.16,0.38,11.60,102
