
Investment Overview,,,,,,Returns Breakdown

Current Value,,,,,,Total Returns
235665.46,,,,,,68316.88
Current Investment,Money Put In,,,Current Returns,Realized Returns,Dividends
205754.05,186473.87,,,29911.41,28577.71,9827.76


Name,Ticker,Current Price (₹),Avg. Buy Price (₹),Returns (%),Weightage (%),Shares
KEI Industries Ltd,KEI,4650.00,2987.43,55.65,5.91,3
Polycab India Limited,POLYCAB,8400.00,6764.52,24.17,7.12,2
Larsen and Toubro Ltd,LT,3885.00,3341.58,16.26,8.24,5
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,1824.00,1194.87,52.65,6.96,9
Siemens Ltd,SIEMENS,3913.90,2613.94,49.73,3.32,2
IndiGrid Infrastructure Trust,INDIGRID,173.49,144.65,19.93,4.63,63
NCC Ltd,NCC,137.13,180.35,-23.96,5.70,98
NTPC Ltd,NTPC,323.64,343.66,-5.82,6.86,50
Power Grid Corporation of India Limited,POWERGRID,270.30,287.05,-5.83,12.96,113
UltraTech Cement Ltd,ULTRACEMCO,11014.00,11660.10,-5.54,9.34,2
JSW Infrastructure Limited,JSWINFRA,348.25,264.89,31.46,7.24,49
Apar Industries Ltd,APARINDS,18858.00,5426.90,247.49,8.00,1
Siemens Energy India Ltd,ENRIN,3228.00,1767.65,82.61,2.73,2
Techno Electric & Engineering Company Ltd,TECHNOE,1030.45,1217.36,-15.35,5.24,12
CG Power and Industrial Solutions Limited,CGPOWER,892.00,952.95,-6.39,5.67,15
