symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
GOLDBEES,INF204KB17I5,2026-01-01,NSE,EQ,EQ,buy,false,180.000000,110.389999,204223520,1100000041985159,2026-01-01T12:09:15
DIXON,INE935N01020,2026-01-01,NSE,EQ,EQ,buy,false,2.000000,11859.000000,205020008,1100000049969515,2026-01-01T12:47:04
POLICYBZR,INE417T01026,2026-01-06,NSE,EQ,EQ,buy,false,10.000000,1781.000000,402110359,1200000021463580,2026-01-06T10:27:39
DIXON,INE935N01020,2026-01-09,NSE,EQ,EQ,buy,false,2.000000,11905.000000,202566354,1100000023526505,2026-01-09T10:08:28
PVRINOX,INE191H01014,2026-01-12,NSE,EQ,EQ,buy,false,17.000000,973.799988,402262955,1200000025455419,2026-01-12T10:24:26
PVRINOX,INE191H01014,2026-01-12,NSE,EQ,EQ,buy,false,3.000000,973.799988,402262956,1200000025455419,2026-01-12T10:24:26
PAGEIND,INE761H01022,2026-01-12,NSE,EQ,EQ,buy,false,1.000000,34465.000000,402320655,1200000026214707,2026-01-12T10:27:16
TMCV,INE1TAE01010,2026-01-14,NSE,EQ,EQ,sell,false,1.000000,435.850006,603757078,1300000035529880,2026-01-14T12:03:19
TMCV,INE1TAE01010,2026-01-14,NSE,EQ,EQ,sell,false,12.000000,435.850006,603757080,1300000035529880,2026-01-14T12:03:19
TMCV,INE1TAE01010,2026-01-14,NSE,EQ,EQ,sell,false,2.000000,435.850006,603757076,1300000035529880,2026-01-14T12:03:19
TMCV,INE1TAE01010,2026-01-14,NSE,EQ,EQ,sell,false,25.000000,435.850006,603757077,1300000035529880,2026-01-14T12:03:19
TMCV,INE1TAE01010,2026-01-14,NSE,EQ,EQ,sell,false,3.000000,435.850006,603757075,1300000035529880,2026-01-14T12:03:19
TMCV,INE1TAE01010,2026-01-14,NSE,EQ,EQ,sell,false,7.000000,435.850006,603757074,1300000035529880,2026-01-14T12:03:19
TMCV,INE1TAE01010,2026-01-14,NSE,EQ,EQ,sell,false,80.000000,435.850006,603757079,1300000035529880,2026-01-14T12:03:19
PVRINOX,INE191H01014,2026-01-16,NSE,EQ,EQ,buy,false,2.000000,1011.700012,401642130,1200000014738755,2026-01-16T15:35:02
PVRINOX,INE191H01014,2026-01-16,NSE,EQ,EQ,buy,false,23.000000,1011.599976,401642129,1200000014738755,2026-01-16T15:35:02
ADANIPORTS,INE742F01042,2026-01-23,NSE,EQ,EQ,buy,false,15.000000,1306.900024,6458783,1000000072222558,2026-01-23T14:46:11
ETERNAL,INE758T01015,2026-01-23,NSE,EQ,EQ,buy,false,75.000000,259.850006,208792045,1100000083717417,2026-01-23T14:47:15
MON100,INF247L01AP3,2026-02-06,NSE,EQ,EQ,buy,false,108.000000,224.839996,403542818,1200000039329211,2026-02-06T11:47:31
MON100,INF247L01AP3,2026-02-06,NSE,EQ,EQ,buy,false,2.000000,224.869995,403542819,1200000039329211,2026-02-06T11:47:31
VOLTAS,INE226A01021,2026-02-09,NSE,EQ,EQ,sell,false,12.000000,1503.300049,609096106,1300000090484117,2026-02-09T14:54:45
VOLTAS,INE226A01021,2026-02-09,NSE,EQ,EQ,sell,false,15.000000,1503.300049,609096105,1300000090484117,2026-02-09T14:54:45
VOLTAS,INE226A01021,2026-02-09,NSE,EQ,EQ,sell,false,19.000000,1503.300049,609096104,1300000090484117,2026-02-09T14:54:45
CASTROLIND,INE172A01027,2026-02-10,NSE,EQ,EQ,buy,false,15.000000,188.039993,2105781,1000000020028523,2026-02-10T10:34:10
CASTROLIND,INE172A01027,2026-02-10,NSE,EQ,EQ,buy,false,2.000000,188.039993,2105778,1000000020028523,2026-02-10T10:34:10
CASTROLIND,INE172A01027,2026-02-10,NSE,EQ,EQ,buy,false,30.000000,188.039993,2105780,1000000020028523,2026-02-10T10:34:10
CASTROLIND,INE172A01027,2026-02-10,NSE,EQ,EQ,buy,false,53.000000,188.039993,2105779,1000000020028523,2026-02-10T10:34:10
DIXON,INE935N01020,2026-02-10,NSE,EQ,EQ,buy,false,1.000000,11727.000000,202975318,1100000026623875,2026-02-10T10:34:59
IEX,INE022Q01020,2026-02-10,NSE,EQ,EQ,buy,false,160.000000,126.440002,203011204,1100000026983244,2026-02-10T10:36:47
