symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
QUANT BFSI FUND - DIRECT PLAN,INF966L01BX0,2024-02-13,BSE,MF,,buy,false,3209.238000,15.580800,1027609353,1027609353,2024-02-13T00:00:00
QUANT SMALL CAP FUND - DIRECT PLAN,INF966L01689,2024-03-13,BSE,MF,,buy,false,214.947000,232.626600,1072292904,1072292904,2024-03-13T00:00:00
QUANT BFSI FUND - DIRECT PLAN,INF966L01BX0,2024-03-15,BSE,MF,,buy,false,3302.958000,15.138400,1077015945,1077015945,2024-03-15T00:00:00
BANDHAN SMALL CAP FUND - DIRECT PLAN,INF194KB1AL4,2024-05-13,BSE,MF,,buy,false,1277.138000,39.152000,1164251497,1164251497,2024-05-13T00:00:00
ITI SMALL CAP FUND - DIRECT PLAN,INF00XX01747,2024-05-13,BSE,MF,,buy,false,1914.690000,26.115200,1164248360,1164248360,2024-05-13T00:00:00
CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN,INF760K01EZ8,2024-05-28,BSE,MF,,sell,false,208.763000,361.800000,1182704613,1182704613,2024-05-28T00:00:00
QUANT BFSI FUND - DIRECT PLAN,INF966L01BX0,2024-05-28,BSE,MF,,buy,false,6001.608000,16.662200,1182710832,1182710832,2024-05-28T00:00:00
QUANT MID CAP FUND - DIRECT PLAN,INF966L01887,2024-05-28,BSE,MF,,buy,false,192.912000,259.198700,1182707350,1182707350,2024-05-28T00:00:00
SBI FOCUSED EQUITY FUND - DIRECT PLAN,INF200K01RJ1,2024-05-28,BSE,MF,,sell,false,181.949000,347.579000,1182749683,1182749683,2024-05-28T00:00:00
ITI SMALL CAP FUND - DIRECT PLAN,INF00XX01747,2024-06-05,BSE,MF,,buy,false,1850.765000,27.017200,1198486570,1198486570,2024-06-05T00:00:00
BANDHAN SMALL CAP FUND - DIRECT PLAN,INF194KB1AL4,2024-06-19,BSE,MF,,buy,false,1151.203000,43.435000,1220187295,1220187295,2024-06-19T00:00:00
ITI SMALL CAP FUND - DIRECT PLAN,INF00XX01747,2024-07-18,BSE,MF,,buy,false,1615.673000,30.948400,1269969257,1269969257,2024-07-18T00:00:00
BANDHAN SMALL CAP FUND - DIRECT PLAN,INF194KB1AL4,2024-07-23,BSE,MF,,buy,false,1095.777000,45.632000,1276194982,1276194982,2024-07-23T00:00:00
ADITYA BIRLA SUN LIFE DIGITAL INDIA FUND - DIRECT PLAN,INF209K01VF2,2024-07-26,BSE,MF,,sell,false,354.922000,202.010000,1280901597,1280901597,2024-07-26T00:00:00
CANARA ROBECO BLUECHIP EQUITY FUND - DIRECT PLAN,INF760K01FR2,2024-07-26,BSE,MF,,sell,false,2234.525000,70.050000,1280901445,1280901445,2024-07-26T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2024-07-26,BSE,MF,,sell,false,956.567000,84.010600,1280901247,1280901247,2024-07-26T00:00:00
ADITYA BIRLA SUN LIFE PSU EQUITY FUND - DIRECT PLAN,INF209KB1O82,2024-08-01,BSE,MF,,buy,false,1234.020000,40.520000,1289264207,1289264207,2024-08-01T00:00:00
MOTILAL OSWAL MIDCAP FUND - DIRECT PLAN,INF247L01445,2024-08-05,BSE,MF,,buy,false,455.983000,109.658800,1300379422,1300379422,2024-08-05T00:00:00
ITI SMALL CAP FUND - DIRECT PLAN,INF00XX01747,2024-09-09,BSE,MF,,buy,false,1584.820000,31.550900,1361292242,1361292242,2024-09-09T00:00:00
MOTILAL OSWAL MIDCAP FUND - DIRECT PLAN,INF247L01445,2024-09-17,BSE,MF,,buy,false,413.172000,121.021100,1377948168,1377948168,2024-09-17T00:00:00
QUANT BFSI FUND - DIRECT PLAN,INF966L01BX0,2024-09-17,BSE,MF,,buy,false,2807.300000,17.811600,1377945302,1377945302,2024-09-17T00:00:00
BANDHAN SMALL CAP FUND - DIRECT PLAN,INF194KB1AL4,2024-09-19,BSE,MF,,buy,false,970.583000,51.518000,1380227686,1380227686,2024-09-19T00:00:00
KOTAK SMALL CAP FUND - DIRECT PLAN,INF174K01KT2,2024-09-19,BSE,MF,,buy,false,151.955000,329.062000,1380225166,1380225166,2024-09-19T00:00:00
BANDHAN SMALL CAP FUND - DIRECT PLAN,INF194KB1AL4,2024-10-07,BSE,MF,,buy,false,1003.764000,49.815000,1416394746,1416394746,2024-10-07T00:00:00
