Symbol,Smallcases,Sources,File_Origins
ADANIPORTS,Transporting India Theme; Infra Tracker,Groww_Smallcase; Zerodha_Smallcase,Transporting_India_Theme_20_9_2026.csv; Infra_Tracker_20_9_2026.csv
APARINDS,Infra Tracker,Zerodha_Smallcase,Infra_Tracker_20_9_2026.csv
ARE&M,Electric Mobility Theme,Groww_Smallcase,Electric_Mobility_Theme_20_9_2026.csv
BAJAJ-AUTO,Auto Tracker; Electric Mobility Theme,Groww_Smallcase,Auto_Tracker_20_9_2026.csv; Electric_Mobility_Theme_20_9_2026.csv
BALKRISIND,Auto Tracker,Groww_Smallcase,Auto_Tracker_20_9_2026.csv
BELRISE,Auto Tracker,Groww_Smallcase,Auto_Tracker_20_9_2026.csv
BERGEPAINT,Dividend Aristocrats Model,Zerodha_Smallcase,Dividend_Aristocrats_Model_20_9_2026.csv
BLACKBUCK,Transporting India Theme,Groww_Smallcase,Transporting_India_Theme_20_9_2026.csv
BPCL,Energy Tracker,Zerodha_Smallcase,Energy_Tracker_20_9_2026.csv
CCL,Safe Haven Model,Groww_Smallcase,Safe_Haven_Model_20_9_2026.csv
CGPOWER,Infra Tracker,Zerodha_Smallcase,Infra_Tracker_20_9_2026.csv
CIEINDIA,Auto Tracker,Groww_Smallcase,Auto_Tracker_20_9_2026.csv
COALINDIA,Energy Tracker,Zerodha_Smallcase,Energy_Tracker_20_9_2026.csv
COFORGE,IT Tracker,Zerodha_Smallcase,IT_Tracker_20_9_2026.csv
CONCOR,Transporting India Theme,Groww_Smallcase,Transporting_India_Theme_20_9_2026.csv
CRISIL,Dividend Aristocrats Model,Zerodha_Smallcase,Dividend_Aristocrats_Model_20_9_2026.csv
DELHIVERY,Transporting India Theme,Groww_Smallcase,Transporting_India_Theme_20_9_2026.csv
EICHERMOT,Auto Tracker; Transporting India Theme,Groww_Smallcase,Auto_Tracker_20_9_2026.csv; Transporting_India_Theme_20_9_2026.csv
EMBASSY,Safe Haven Model,Groww_Smallcase,Safe_Haven_Model_20_9_2026.csv
ENDURANCE,Auto Tracker; Electric Mobility Theme,Groww_Smallcase,Auto_Tracker_20_9_2026.csv; Electric_Mobility_Theme_20_9_2026.csv
ENGINERSIN,Growth & Value Multicap Model,Zerodha_Smallcase,Growth_Value_Multicap_Model_20_9_2026.csv
EXIDEIND,Auto Tracker; Electric Mobility Theme,Groww_Smallcase,Auto_Tracker_20_9_2026.csv; Electric_Mobility_Theme_20_9_2026.csv
FINCABLES,Growth & Value Multicap Model,Zerodha_Smallcase,Growth_Value_Multicap_Model_20_9_2026.csv
GAIL,Energy Tracker,Zerodha_Smallcase,Energy_Tracker_20_9_2026.csv
GATEWAY,Transporting India Theme,Groww_Smallcase,Transporting_India_Theme_20_9_2026.csv
GESHIP,Growth & Value Multicap Model,Zerodha_Smallcase,Growth_Value_Multicap_Model_20_9_2026.csv
GLENMARK,Growth & Value Multicap Model,Zerodha_Smallcase,Growth_Value_Multicap_Model_20_9_2026.csv
GPPL,Growth & Value Multicap Model,Zerodha_Smallcase,Growth_Value_Multicap_Model_20_9_2026.csv
HCG,Safe Haven Model,Groww_Smallcase,Safe_Haven_Model_20_9_2026.csv
HCLTECH,IT Tracker,Zerodha_Smallcase,IT_Tracker_20_9_2026.csv
HYUNDAI,Auto Tracker,Groww_Smallcase,Auto_Tracker_20_9_2026.csv
INDHOTEL,House of Tata Tracker,Zerodha_Smallcase,House_of_Tata_Tracker_20_9_2026.csv
INDIGRID,Infra Tracker,Zerodha_Smallcase,Infra_Tracker_20_9_2026.csv
INFY,IT Tracker,Zerodha_Smallcase,IT_Tracker_20_9_2026.csv
IPCALAB,Safe Haven Model,Groww_Smallcase,Safe_Haven_Model_20_9_2026.csv
ITC,Dividend Aristocrats Model,Zerodha_Smallcase,Dividend_Aristocrats_Model_20_9_2026.csv
JSWENERGY,Energy Tracker,Zerodha_Smallcase,Energy_Tracker_20_9_2026.csv
JSWINFRA,Transporting India Theme; Infra Tracker,Groww_Smallcase; Zerodha_Smallcase,Transporting_India_Theme_20_9_2026.csv; Infra_Tracker_20_9_2026.csv
KEI,Dividend Aristocrats Model; Infra Tracker,Zerodha_Smallcase,Dividend_Aristocrats_Model_20_9_2026.csv; Infra_Tracker_20_9_2026.csv
KIRLPNU,Dividend Aristocrats Model,Zerodha_Smallcase,Dividend_Aristocrats_Model_20_9_2026.csv
KPIL,Growth & Value Multicap Model,Zerodha_Smallcase,Growth_Value_Multicap_Model_20_9_2026.csv
LT,Infra Tracker,Zerodha_Smallcase,Infra_Tracker_20_9_2026.csv
LTM,IT Tracker,Zerodha_Smallcase,IT_Tracker_20_9_2026.csv
