Snapshot Date,Snapshot Month,Symbol,Sector,Industry,Archetype,Economic Sensitivity,Investor Role,Mkt Cap Cr,52W Low,CMP,52W High,Buy 20% Less,Day Chg%,1W Return %,1M Return %,Trend,Technical Setup,RSI,Vol Spike,Beta,EPS,PE,Book Value,P/B,Div Yield%,Fair Val,Rev Growth%,ROE%,ROA%,Debt/Equity,News Summary & Digest,Sentiment & Score,News Source,Strengths,Weaknesses,Quality Score,Valuation Score,Timing Score,Total Score,Buying Zone,Buy/Sell Price Range,Final Action
2026-08-31,2026-08,ASIANPAINT,Basic Materials,Specialty Chemicals,QUALITY_GROWTH,Medium,Long-term Growth,"₹2,53,063 Cr",2115,2653.6,2985.7,-11.12%,1.72,0.48,-3.41,Uptrend,🟠 Volatile,34,2.02,0.98,49.63,53.19,222.81,11.85,1.04,"₹1,241",5.1,,,17.85,"29 articles, dominant topic: earnings. Investing in Asian Paints (NSE:ASIANPAINT) a year ago would have delivered you a 21% gain - simplywall.st (bullish signals: profit rises)",Neutral,"simplywall.st, TradingView, vinanet.vn",✓ Oversold RSI (34.0) — good entry | ✓ Volume spike 2.0x on uptrend,✗ Weak REV GROWTH 5.1% | ✗ High debt (17.9x) | ✗ Expensive PE (53.2x),2,5,25,32,❌ WAIT,"> ₹1,365",WATCH
2026-08-31,2026-08,HINDUNILVR,Consumer Defensive,Household & Personal Products,CONSUMER_STAPLES,Low,Defensive,"₹4,75,604 Cr",2006.2,1967.4,2750,-28.46%,-2.14,-3.08,-6.37,Strong Downtrend,🟡 Consolidating,26,1.58,0.74,45.07,44.91,207.44,9.76,2.17,"₹1,577",5.27,,,3.02,"32 articles, dominant topic: dividends. Hindustan Unilever Share Price - Live NSE: HINDUNILVR Stock Price & Chart - Upstox (mostly dividends-related coverage, no strong signal)",Neutral,"Upstox, simplywall.st, ICICI Direct",✓ Deeply oversold RSI (26.0),✗ Below 200-day MA — long-term trend broken,3,20,15,38,❌ WAIT,"> ₹1,735",HOLD
2026-08-31,2026-08,PNB,Financial Services,Banks - Regional,FINANCIAL_BANK,Medium,Financial,"₹1,33,238 Cr",98.5,114.23,135.15,-15.48%,-1.01,-1.41,1.35,Uptrend,🟢 Tight Base,50.7,1.42,1.33,19.22,6.03,136.05,0.85,2.59,₹204,4.78,14.97,1.13,,"86 articles, dominant topic: earnings. PNB shares jump up to 5% as Q1 net profit surges over three-fold, brokerages see up to 28% upside - Moneycontrol.com (bullish signals: record high, upgrade)",Bullish (2/10),"Moneycontrol.com, TradingView, Upstox",✓ Attractive P/B (0.8x) | ✓ Good dividend yield (2.6%) | ✓ Bullish news signal (2/10) — positive momentum,✗ Weak REV GROWTH 4.8%,18,30,14,62,🟠 SMALL BUY,< ₹163,ACCUMULATE
2026-08-31,2026-08,ASTRAL,Industrials,Building Products & Equipment,INDUSTRIAL_CAPEX,High,Cyclical,"₹41,372 Cr",1311.6,1522.2,1768.7,-13.94%,-0.66,-0.69,5.25,Uptrend,🟠 Volatile,65.6,7.51,0.76,21.4,71.96,151.05,10.2,0.26,₹428,12.62,,,6.17,"54 articles, dominant topic: corporate_actions. Astral Share Price - Upstox (bearish signals: downgrade)",Neutral,"Upstox, simplywall.st, Sahi",✓ Volume spike 7.5x on uptrend,✗ High debt (6.2x) | ✗ Expensive PE (72.0x) | ✗ Expensive P/B (10.2x),5,4,15,24,❌ WAIT,> ₹471,WATCH
2026-08-31,2026-08,MPHASIS,Technology,Information Technology Services,QUALITY_GROWTH,Medium,Long-term Growth,"₹45,796 Cr",2013,2427.4,3037.2,-20.08%,-1.12,0.02,3.63,Uptrend,🟡 Consolidating,30.5,0.87,0.94,100.19,23.95,594.06,4.04,2.58,"₹2,505",11.59,17.74,9.04,24.68,"51 articles, dominant topic: earnings. MPHASIS Forecast — Price Target — Prediction for 2027 - TradingView (bullish signals: profit rises; bearish signals: cuts guidance)",Neutral,"TradingView, Upstox, simplywall.st",✓ Strong ROE 17.7% | ✓ Attractive PE (23.9x) | ✓ Good dividend yield (2.6%) | ✓ Oversold RSI (30.5) — good entry,✗ High debt (24.7x),13,27,20,60,🔎 INVESTIGATE WHY,"₹2,254 – ₹2,505",ACCUMULATE
2026-08-31,2026-08,OFSS,Technology,Software - Infrastructure,QUALITY_GROWTH,Medium,Long-term Growth,"₹1,02,758 Cr",6234.5,12540,12060,3.98%,2.87,8.87,12.1,Strong Uptrend,🟣 Breakout,62.3,2.18,0.82,391.61,30.13,795.58,14.83,5.64,"₹9,790",12.05,49.9,30.94,0.57,"48 articles, dominant topic: dividends. Why It Might Not Make Sense To Buy Oracle Financial Services Software Limited (NSE:OFSS) For Its Upcoming Dividend - simplywall.st (mostly dividends-related coverage, no strong signal)",Neutral,"simplywall.st, TradingView, News18",✓ Strong ROE 49.9% | ✓ Good dividend yield (5.6%) | ✓ Volume spike 2.2x on uptrend,✗ High debt (0.6x) | ✗ Expensive P/B (14.8x),16,16,15,47,🟠 SMALL BUY,"> ₹10,769",HOLD
2026-08-31,2026-08,COFORGE,Technology,Information Technology Services,QUALITY_GROWTH,Medium,Long-term Growth,"₹83,269 Cr",1008.1,1985.3,1989.7,-0.22%,-1.45,6,15.63,Strong Uptrend,🟡 Consolidating,69.1,1.02,1.11,48.83,38.5,283.96,6.62,0.85,"₹1,221",35.86,,,7.52,"100 articles, dominant topic: earnings. Coforge Share Price - Upstox (bullish signals: outperform, profit rises, upgrade; bearish signals: downgrade)",Bullish (6/10),"Upstox, Business Today, scanx.trade",✓ Strong REV GROWTH 35.9% | ✓ Bullish news signal (6/10) — positive momentum,✗ High debt (7.5x),10,11,13,34,❌ WAIT,"> ₹1,343",WATCH
2026-08-31,2026-08,TCS,Technology,Information Technology Services,QUALITY_GROWTH,Medium,Long-term Growth,,1976.8,2399.3,3350,-28.38%,2.45,5.04,1.42,Downtrend,🟡 Consolidating,45,1.06,0.86,137.73,16.67,303.01,7.58,2.85,"₹3,443",4.58,47.74,24.48,10.21,"100 articles, dominant topic: earnings. TCS stock falls after MHP acquisition: Brokerages bearish; Citi, HSBC flag integration risks, falling... - Moneycontrol.com (bullish signals: record high; bearish signals: cuts guidance)",Neutral,"Moneycontrol.com, The Eastern Herald, Upstox",✓ Strong ROE 47.7% | ✓ Attractive PE (16.7x) | ✓ Good dividend yield (2.9%),✗ Poor REV GROWTH 4.6% | ✗ High debt (10.2x) | ✗ Below 200-day MA — long-term trend broken,10,24,5,39,❌ WAIT,"< ₹2,755",HOLD
2026-08-31,2026-08,PERSISTENT,Technology,Information Technology Services,QUALITY_GROWTH,Medium,Long-term Growth,"₹87,341 Cr",4244.5,5594.5,6599,-15.22%,-4.77,-1.75,0.82,Uptrend,🟠 Volatile,52.4,2.47,0.95,122.15,45.77,538.14,10.39,0.64,"₹3,054",23.53,25.2,14.81,6.94,"85 articles, dominant topic: earnings. There's A Lot To Like About Persistent Systems' (NSE:PERSISTENT) Upcoming ₹18.00 Dividend - simplywall.st (bullish signals: record high)",Neutral,"simplywall.st, HDFC Sky, Upstox",✓ Strong ROE 25.2% | ✓ Strong REV GROWTH 23.5% | ✓ Volume spike 2.5x on uptrend,✗ High debt (6.9x) | ✗ Expensive P/B (10.4x),20,8,18,46,❌ WAIT,"> ₹3,359",HOLD
2026-08-31,2026-08,LTM,Technology,Information Technology Services,QUALITY_GROWTH,Medium,Long-term Growth,"₹1,34,238 Cr",3528,4540,6429.5,-29.39%,-2.89,0.32,4.08,Downtrend,🟡 Consolidating,31.3,0.88,1.12,174.58,25.94,827.55,5.47,1.66,"₹4,364",11.31,21.97,12.69,9.87,"38 articles, dominant topic: earnings. LTM soars 8%, hits over 3-month high on huge volumes; surges 26% in 1 month - Business Standard (bearish signals: downgrade)",Neutral,"Business Standard, TradingView, Upstox",✓ Strong ROE 22.0% | ✓ Good dividend yield (1.7%) | ✓ Oversold RSI (31.3) — good entry,✗ High debt (9.9x) | ✗ Below 200-day MA — long-term trend broken,15,19,10,44,🟠 SMALL BUY,"₹4,364 – ₹4,801",HOLD
